UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,ORS,,,,,
1,Waters,4036190,Water,Observation,Substance,SNOMED
2,Other specify,45883153,"Other, specify",Meas Value,Answer,LOINC
