UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
M,Months,9580,month,Unit,Unit,UCUM
Y,Years,9448,year,Unit,Unit,UCUM
