UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
1,Left Lateral Segment,,,,,
2,Left Lobe,4320619,Structure of left lobe of liver,Spec Anatomic Site,Body Structure,SNOMED
5,Left Lobe without MHV (Middle Hepatic Vein),,,,,
6,Left Lobe with MHV,,,,,
3,Right Lobe,4168794,Structure of right lobe of liver,Spec Anatomic Site,Body Structure,SNOMED
7,Right Lobe without MHV,,,,,
8,Right Lobe with MHV,,,,,
4,Domino Whole Liver,,,,,
9,Domino Partial Liver,,,,,
