UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
1,Positive,45884084,Positive,Meas Value,Answer,LOINC
2,Negative,45878583,Negative,Meas Value,Answer,LOINC
3,Not Done,45878559,Not done,Meas Value,Answer,LOINC
998,Unknown,45877986,Unknown,Meas Value,Answer,LOINC
