UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
1,1,45884742,One,Meas Value,Answer,LOINC
2,2,45884972,Two,Meas Value,Answer,LOINC
3,3,45879330,Three,Meas Value,Answer,LOINC
4,4,4247706,Four,Observation,Qualifier Value,SNOMED
5,5,4141898,Five,Observation,Qualifier Value,SNOMED
25,>5,4131463,>5,Observation,Qualifier Value,SNOMED
50,Infiltrative,21498568,Infiltrating,Meas Value,Answer,LOINC
