UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
1,None,45878582,None,Meas Value,Answer,LOINC
2,Incomplete,45882859,Incomplete,Meas Value,Answer,LOINC
3,Complete,21498697,Complete,Meas Value,Answer,LOINC
